,Path,Train,Active,Train type subgroup,From,To,First station,Last station,Prev.station,Foll. station,OccTime from,OccTime to,Transfer,Platfrom_Sim,Arrival_Sim,Departure_Sim,StopType_Sim,Arrival lateness,Departure lateness,Length of overlap [m],OvLap Vmax [km/h],Number of runs,Seas.,Station Kürzel,Station,Station abbreviation 2,Station name 2,Attribute key of station,Line,Route,Platform,Overlap,TimeZone,Scheduled arrival [D HH:MM:SS],Activity at arrival,Scheduled departure [D HH:MM:SS],Activity at departure,Operational directives,Fix,Local DoO,Offered DoO,FeasArr [D HH:MM:SS],FeasDep [D HH:MM:SS],FeasDw [s],SchDw [s],MinDw [s],RTs,RTa,Length tr [km],Departure state,Handling time [s],ArrGrn,Dep(A),DepVL/(VL),Arr,Proceed request,Exit message,Stabling message,Reason for stop TOC,Reason for stop Traction unit provider,Reason for stop Carriage service,Booklet of changes,Standard train,BPmax,Example,Model timetable,Vmax model [km/h],BP model,Loading table,Loading category,Load from LT [t],Corridor,MRTech [s],StAll [s],MinRT [s],EngAll [s],PerfAll [s],PathAll [s],StndRT [s],RTAllow [s],SchedRT [s],FeasRT [s],TimRefN,StAll,Deviation StAll [s],Actual StAll,ConnArr,ConnWait,State of access plan,StopType,Track for passing through,Train route for passing through,Creat.,Created by,Created on,Last edit,Last edit by,Last edit on,RTAllow [%],DwAll [s],RTAll [s],TotAll [s],SimAll [s],Change of direction of travel,Train control system/entry,Train control system/leaving,Train formation,ID,Abbr.,Name,Description,Path colour,TrainClass,Train con.. sys.,PZB,KVBP,TL,Speed vehicle dynamic,Speed profile signalling system,Type of run,St. braking rate [m/s²],Max. braking rate [m/s²],Traction cut off time [s],Brake build-up time [s],Min stop time f. unsched. stop [s],Percentage of braking power,Parking brake percentage,BrSet,Rel. traction,Max TF [kN],restr. Tforce,Tr tot L [m],Tr tot M [t],Edit cars,# cars,TrU type,TrU type,Traction type per TrU,Pos. TrU,Loading category of traction unit,Vmax [km/h],Always Vmax,Vmax from lateness [s],<html>V<small>normal</small> below lateness [s]</html>,Trailer length [m],Trailer TareMass [t],Trailer LoadMass [t],Trailer TotMass [t],# stand,# stand TrU,# stand car,# seats,# seats TrU,# seats car,RollR,Max. acc.,Base  priority,Threshold 1. prio change [s],1. dynamic priority change,Threshold 2. prio change [2],2. dynamic priority change,Pushable,Noise exposure,without conductor,Override of emergency brake,Pressure strengthened,Int. brake percentage customer,Reversing train,Operational directives/profiles,Attribute key,Δ RequArr [min],Δ RequDep [min],RequArr,RequDep,RequDw,RequRT,RequPlf,RequRoute,Ordered dwell time [s],Vfeas [km/h],Vmax [km/h],Vstat [km/h],Applied work [kWh],Board,Alight,ChanBoard,ChanAlight,TotBoard,TotAlight,DiffPass,ArrPass,DepPass,Train category,Orderer,Orderer name,Operator,Operator name,Requester,Traction unit provider,Name of traction unit provider,Traction unit provider TrU,Quality level,Loading gauge excess class,Bimodal traffic code,Wagon transfer,Traction unit transfer,Waiting time connections,Comment,Pictograms,Buffer time [s],Selection,PrM: From stn.,PrM: From stn. abbr.,PrM: To stn.,PrM: To station abbr.,PrM: Start stn.,PrM: Start stn. abbr.,PrM: Dest. stn.,PrM: Dest. stn. abbr.,PrM: DoO,PrM: Arr.,PrM: Prnt.Arr.,PrM: Dep,PrM: Prnt.Dep.,Local SchedArr,Local SchedDep,Routing station,Look-ahead Routing stations,Look-ahead range Time [min],Alternative tracks,Bidi routing threshold [%],Ignore overlap conflicts for bidi routing,Minimum lateness Overtaking [s],Minimum lateness Dwell routing [s],Minimum lateness Replatforming [s],Minimum lateness Change of station route [s],Minimum lateness for  alternative line routing [min],Intervention range Overtaking [min],Intervention range Bidi routing [min],Intervention range Replatforming [min],Intervention range Change of station route [min],Intervention range  Routing closure/station [min],Intervention range Alternative line routing [min],Rout. merging  at junction,Overtaking routing,Dwell  Routing,RePlat- forming,Entry  routing,Bidi routing,Coupling Routing,AlternativeRoute Routing,Rerouting closure/station,Alternative line routing,Ignore conflicts w. follow. trains,Ignore conflicts  dur. arr/dep,3 to 4 trains routing trial,Alternative line,Baseline,Preoccupation ETCS from,Calculation of acceleration a1,Calculation of acceleration a2,User-defined value A1 [m/s²],User-defined value A2 [m/s²],Braking with train resistances,Braking with real gradients,Activate change request 1186,dV_ebi_min [km/h],dV_ebi_max [km/h],V_ebi_min [km/h],V_ebi_max [km/h],dV_sbi_min [km/h],dV_sbi_max [km/h],V_sbi_min [km/h],V_sbi_max [km/h],dV_warning_min [km/h],dV_warning_max [km/h],V_warning_min [km/h],V_warning_max [km/h],T_warning [s],T_preindication (Baseline 3.6.0 = 0 s) [s],M_rotating_min [%],M_rotating_max [%],V_comp [km/h],acc. to ERA Subset 41,T_driver [s],P2,C2,P3,C3,Loading gauge exceedance,Rola Höhe,Rola Breite,EC number,EC information,Profile numbers,Remark on CTL,Change class CTL,Local train number,Train path number,Reference path,Production form,Combined traffic load,Profiles,EC,External references,Remark CTL
PSH,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Southbound/IRSouthbound1-1,IR Express IRSouthbound1-1,1,,NND,FRA,0,0,SG TOW,FRA,15:50:19,16:11:34,,,,,,,,,,,,PSH,Parkes South,,,,S2P,[PKE]-[26306/1]-[1]-[FRA]-[26306/1] (1),T-1,,NSW/VIC,15:52:38,,15:52:38,,,0,Daily,,15:52:38,15:52:38,,,,, 0:45:34,13.941,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:08,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:08,,,,,,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Southbound/IRSouthbound1-1,IR Express IRSouthbound1-1,1,,NND,FRA,0,1,PSH,,16:08:38,16:11:34,,,,,,,,,,,,FRA,Mountain Industries Sdg,,,,S2P,[PKE]-[26306/1]-[1]-[FRB]-[26306/1] (1),U-1,,NSW/VIC,16:11:34,,16:11:34,,,0,Daily,,16:11:34,16:11:34,,,,, 1:04:30,40.374,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0%,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:08,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:08,,,,,,0,ATC,,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-1,IR Express NorthboundIR-1,1,,FRA,NND,1,0,,PSH,-1 23:59:09, 0:02:15,,,,,,,,,,,,FRA,Mountain Industries Sdg,,,,S2P,[FRB]-[26306/1]-[1]-[PKE]-[26306/1] (1),D-1,,NSW/VIC,0:01:00,, 0:01:00,,,0,Daily,,0:01:00, 0:01:00,,,, 0:19:11,,,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,1151,0,1151,0,0,0,1151,0,1151,1151,0,0%,0,0,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSH,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-1,IR Express NorthboundIR-1,1,,FRA,NND,0,0,FRA,SG TOW,-1 23:59:19, 0:27:50,,,,,,,,,,,,PSH,Parkes South,,,,S2P,[FRA]-[26306/1]-[1]-[PKE]-[26306/1] (1),T-1,,NSW/VIC,0:18:45,, 0:18:45,,,0,Daily,,0:18:45, 0:18:45,,,,, 0:17:45,26.043,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,,,,,,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG TOW,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-1,IR Express NorthboundIR-1,1,,FRA,NND,0,0,PSH,PKE,-1 23:59:19, 0:27:50,,,,,,,,,,,,SG TOW,South Goobang TOW,,,,S2P,[PSH]-[S2P/1]-[1]-[PKE]-[S2P/1] (1),BNE-1,,, 0:20:11,, 0:23:11,,,0,Daily,, 0:20:11, 0:23:11,180,180,180, 0:06:01, 0:19:11,26.834,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,139,0,139,0,0,0,139,0,139,139,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKE,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-1,IR Express NorthboundIR-1,1,,FRA,NND,0,0,SG TOW,GBJ, 0:23:26, 0:48:51,,,,,,,,232,1000,,,PKE,Parkes M Frame,,,,-24101,[FRA]-[26306/1]-[1]-[GBJ]-[24101/1] (1),D-1,Overlap without name,NSW/VIC,0:25:30,, 0:25:30,,,0,Daily,,0:25:30, 0:25:30,,,,, 0:24:30,27.604,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,222,0,222,0,0,0,222,0,222,222,1,0%,0,0,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBJ,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-1,IR Express NorthboundIR-1,1,,FRA,NND,0,0,PKE,GBJ North, 0:25:27, 0:52:11,,,,,,,,,,,,GBJ,Goobang Jct,,,,(S2P),GBJ Mainline NB,FRAME Q-2,,NSW/VIC, 0:29:12,, 0:40:12,,,0,Daily,, 0:29:12, 0:40:12,660,660,660, 0:03:14, 0:28:12,28.973,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,194,0,194,0,0,0,194,0,194,194,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,0,,0,,0,0,ATC,ATC-DK,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBJ North,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-1,IR Express NorthboundIR-1,1,,FRA,NND,0,0,GBJ,NOJ, 0:25:27, 0:53:10,,,,,,,,,,,,GBJ North,Goobang Jct North,,,,(P2N),[GBJ]-[S2P/2]-[1-3-4]-[NOJ]-[P2N/1] (2),FRAME R-1,,, 0:43:26,, 0:48:26,,,0,Daily,, 0:43:26, 0:48:26,300,300,300, 0:08:45, 0:42:26,29.313,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,525,0,525,0,0,0,525,0,525,525,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,0,,0,,0,0,ATC,ATC-DK,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOJ,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-1,IR Express NorthboundIR-1,1,,FRA,NND,0,0,GBJ North,NND, 0:48:24, 1:02:40,,,,,,,,,,,,NOJ,Parkes North West Junction,,,,P2N,[GBJ]-[P2N/1]-[1-5]-[NANd]-[P2N/MBIR] (1),Gd-5,,NSW/VIC, 0:57:11,, 1:00:11,,,0,Daily,, 0:57:11, 1:00:11,180,180,180, 0:00:00, 0:56:11,31.694,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,357,0,357,0,0,0,357,0,357,357,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,0,,0,,0,0,ATC-DK,ATC-DK,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NND,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-1,IR Express NorthboundIR-1,1,,FRA,NND,0,1,NOJ,, 1:00:01, 1:06:08,,,,,,,,,,,,NND,Nanardine,,,,P2N,[PARKESJN]-[MBIR/MBIR]-[1]-[OKH]-[MBIR/MBIR] (1),SM-1,,NSW/VIC,1:06:08,, 1:06:08,,,0,Daily,,1:06:08, 1:06:08,,,,, 1:05:08,38.754,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0%,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,Matthew.Bentham,Matthew.Bentham,9/12/2024 10:19,,,,,,0,ATC-DK,,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-7,IR Express NorthboundIR-7,1,,FRA,NND,1,0,,PSH, 1:32:44, 1:35:50,,,,,,,,,,,,FRA,Mountain Industries Sdg,,,,S2P,[FRB]-[26306/1]-[1]-[PKE]-[26306/1] (1),D-1,,NSW/VIC,1:34:35,, 1:34:35,,,0,Daily,,1:34:35, 1:34:35,,,, 0:19:11,,,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,1151,0,1151,0,0,0,1151,0,1151,1151,0,0%,0,0,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSH,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-7,IR Express NorthboundIR-7,1,,FRA,NND,0,0,FRA,SG TOW, 1:32:54, 2:01:25,,,,,,,,,,,,PSH,Parkes South,,,,S2P,[FRA]-[26306/1]-[1]-[PKE]-[26306/1] (1),T-1,,NSW/VIC,1:52:20,, 1:52:20,,,0,Daily,,1:52:20, 1:52:20,,,,, 0:17:45,26.043,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,,,,,,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG TOW,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-7,IR Express NorthboundIR-7,1,,FRA,NND,0,0,PSH,PKE, 1:32:54, 2:01:25,,,,,,,,,,,,SG TOW,South Goobang TOW,,,,S2P,[PSH]-[S2P/1]-[1]-[PKE]-[S2P/1] (1),BNE-1,,, 1:53:46,, 1:56:46,,,0,Daily,, 1:53:46, 1:56:46,180,180,180, 0:06:01, 0:19:11,26.834,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,139,0,139,0,0,0,139,0,139,139,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKE,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-7,IR Express NorthboundIR-7,1,,FRA,NND,0,0,SG TOW,GBJ, 1:57:01, 2:22:26,,,,,,,,232,1000,,,PKE,Parkes M Frame,,,,-24101,[FRA]-[26306/1]-[1]-[GBJ]-[24101/1] (1),D-1,Overlap without name,NSW/VIC,1:59:05,, 1:59:05,,,0,Daily,,1:59:05, 1:59:05,,,,, 0:24:30,27.604,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,222,0,222,0,0,0,222,0,222,222,1,0%,0,0,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBJ,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-7,IR Express NorthboundIR-7,1,,FRA,NND,0,0,PKE,GBJ North, 1:59:02, 2:25:46,,,,,,,,,,,,GBJ,Goobang Jct,,,,(S2P),GBJ Mainline NB,FRAME Q-2,,NSW/VIC, 2:02:47,, 2:13:47,,,0,Daily,, 2:02:47, 2:13:47,660,660,660, 0:03:14, 0:28:12,28.973,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,194,0,194,0,0,0,194,0,194,194,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,0,,0,,0,0,ATC,ATC-DK,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBJ North,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Northbound/NorthboundIR-7,IR Express NorthboundIR-7,1,,FRA,NND,0,0,GBJ,NOJ, 1:59:02, 2:26:45,,,,,,,,,,,,GBJ North,Goobang Jct North,,,,(P2N),[GBJ]-[S2P/2]-[1-3-4]-[NOJ]-[P2N/1] (2),FRAME R-1,,, 2:17:01,, 2:22:01,,,0,Daily,, 2:17:01, 2:22:01,300,300,300, 0:08:45, 0:42:26,29.313,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,525,0,525,0,0,0,525,0,525,525,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,Matthew.Bentham,Matthew.Bentham,9/12/2024 15:02,0,,0,,0,0,ATC,ATC-DK,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
